Disease,Symptoms,Diagnosis & Tests,Symptom Severity,Duration of Treatment,Medical History,Current Medications,Risk Factors,Environmental Factors,Sleep Patterns,Stress Levels,Physical Activity Levels,Family History,Dietary Habits,Allergies (Food/Env),Seasonal Variation,Age Group,Gender,Occupation and Lifestyle,Cultural Preferences,Formulation,Doshas,Constitution/Prakriti,Diet and Lifestyle Recommendations,Yoga & Physical Therapy,Medical Intervention,Prevention,Prognosis,Complications,Recommendations for Patient,Herbal/Alternative Remedies,Ayurvedic Herbs Recommended
HIV/AIDS,"Weight loss, fever, diarrhea, swollen lymph nodes","Blood Tests, CD4 Count, Viral Load",Severe,Lifelong,"Viral infection, Immunodeficiency",Antiretroviral therapy,"Unprotected Sex, Needle Sharing","Unsafe sexual practices, Needle sharing",Irregular sleep,High stress,Low,Family history of HIV/AIDS,"Balanced, High-protein",,All seasons,20-50 years,Both genders,Sedentary lifestyle,Avoids unprotected sex,"Guduchi (3g), Warm water (200ml)","Vata, Pitta",Vata-Pitta,Follow a balanced diet rich in vitamins; avoid exposure to infections.,None specific,Antiretroviral Therapy,"Safe Sex Practices, Needle Safety",Managed with Medication,"Opportunistic Infections, Cancer","Safe Practices, Regular Monitoring",None specific,None specific
Hair Loss,"Thinning of hair, bald patches","Physical Exam, Scalp Biopsy",Moderate to Severe,Varies,"Genetic, Hormonal imbalance","Minoxidil, Finasteride","Genetics, Hormonal Imbalances","Stress, Hormonal imbalance",Irregular sleep,High stress,Low,Family history of hair loss,"Balanced, Protein-rich",,All seasons,20-50 years,Both genders,"Sedentary lifestyle, Stress",Avoids stress,"Amla (3g), Brahmi (2g), Olive oil (5ml)","Pitta, Kapha",Pitta-Prakriti,Maintain scalp hygiene; avoid stress and use herbal oils for massage.,"Scalp Massage, Stress Reduction","Topical Medications, Surgery","Healthy Diet, Stress Management",Can be Managed with Treatment,"Baldness, Thinning Hair","Stress Management, Healthy Diet","Saw Palmetto, Aloe Vera","Bhringraj, Amla"
"Hand, Foot, and Mouth Disease","Rash on hands, feet, mouth sores, fever","Physical Exam, Throat Culture",Mild to Moderate,1-2 weeks,Viral infection,Symptomatic treatment,"Poor Hygiene, Contact with Infected Individuals","Close contact, Poor hygiene",Irregular sleep,Moderate stress,Low,No family history,"Low-fat, Hydrating foods",,All seasons,All ages,Both genders,Poor hygiene areas,Avoids crowded areas,"Neem leaves (5-6), Turmeric (1/2 tsp), Water (as needed)",Pitta,Pitta-Prakriti,Avoid spicy foods; maintain hydration and rest.,"Rest, Hydration","Supportive Care, Pain Relief","Handwashing, Avoid Contact",Usually Resolves with Treatment,"Dehydration, Viral Spread","Good Hygiene, Hydration",None specific,None specific
Hantavirus Pulmonary Syndrome,"Fever, fatigue, shortness of breath, muscle aches","Blood Tests, Chest X-ray, CT Scan",Severe,2-4 weeks,"Viral infection, Rodent exposure","Supportive care, Antivirals","Rodent Exposure, Poor Sanitation","Rodent exposure, Poor sanitation",Irregular sleep,High stress,Low,No family history,"Low-fat, Hydrating foods",,All seasons,20-60 years,Both genders,Poor sanitation areas,Avoids rodent exposure,"Ginger (2g), Garlic (1 clove), Warm water (200ml)","Vata, Kapha",Vata-Kapha,"Avoid contact with rodents; consume warm, nutrient-rich foods.","Breathing Exercises, Physical Therapy","Supportive Care, Oxygen Therapy","Avoid Rodent Contact, Clean Living",Can be Managed with Treatment,"Respiratory Failure, Shock","Clean Environment, Early Diagnosis",None specific,None specific
Hashimoto's Thyroiditis,"Fatigue, weight gain, sensitivity to cold","Blood Tests, Thyroid Ultrasound",Moderate to Severe,Lifelong,"Autoimmune, Hypothyroidism",Levothyroxine,"Autoimmune Factors, Family History","Autoimmune disorders, Family history",Irregular sleep,High stress,Low,Family history of Hashimoto's,"Balanced, Iodine-rich",,All seasons,30-60 years,Female,Sedentary lifestyle,Avoids excessive iodine,"Ashwagandha (5g), Warm water (200ml)",Vata,Vata-Prakriti,Avoid goitrogenic foods like soy; ensure adequate iodine intake.,"Yoga for Thyroid Health, Relaxation",Hormone Replacement Therapy,"Regular Monitoring, Stress Management",Can be Managed with Medication,"Heart Disease, Infertility","Regular Monitoring, Medication",None specific,"Ashwagandha, Shatavari"
Heart Attack (Myocardial Infarction),"Chest pain, shortness of breath, dizziness","ECG, Blood Tests, Angiography",Severe,1-3 months,"Cardiovascular disease, Obesity","Antiplatelet drugs, Statins","High Blood Pressure, Smoking, Obesity","Smoking, High blood pressure",Irregular sleep,High stress,Low,Family history of heart disease,"Low-fat, High-fiber","Smoking, High-fat foods",Winter season,40-70 years,Both genders,"Sedentary lifestyle, Stress",Avoids smoking,"Arjuna bark (5g), Warm water (200ml)","Pitta, Vata",Pitta-Vata,Avoid fatty foods; practice deep breathing exercises and stress management.,"Physical Therapy, Cardiovascular Exercises","Medications, Surgery, Rehabilitation","Healthy Diet, Regular Exercise",Can be Managed with Treatment,"Heart Failure, Stroke","Healthy Diet, Stress Management",None specific,"Arjuna, Ashwagandha"
Heart Disease,"Chest pain, fatigue, shortness of breath","Blood Tests, ECG, Stress Tests",Severe,Lifelong,"Hypertension, Obesity","Beta-blockers, Statins","High Blood Pressure, Smoking, High Cholesterol","Smoking, High blood pressure, High cholesterol",Irregular sleep,High stress,Low,Family history of heart disease,"Low-fat, Low-sodium","Smoking, High-fat foods",Winter season,40-70 years,Both genders,"Sedentary lifestyle, Stress",Avoids smoking,"Garlic (1 clove), Ginger (2g), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,"Avoid smoking, trans fats; include fiber-rich foods in the diet.","Physical Therapy, Cardiovascular Exercises","Medications, Surgery","Healthy Diet, Regular Exercise",Can be Managed with Treatment,"Heart Failure, Stroke","Regular Monitoring, Healthy Lifestyle",None specific,"Arjuna, Brahmi"
Heart Failure,"Shortness of breath, swelling in legs, fatigue","Blood Tests, Chest X-ray, Echocardiogram",Severe,Lifelong,"Cardiovascular disease, Hypertension","Diuretics, ACE inhibitors","Heart Disease, High Blood Pressure","Smoking, Hypertension, Diabetes",Irregular sleep,High stress,Low,Family history of heart disease,"Low-sodium, High-protein","Smoking, High-sodium foods",Winter season,50-80 years,Both genders,"Sedentary lifestyle, Stress",Avoids excessive salt,"Arjuna (5g), Warm water (200ml)","Pitta, Vata",Pitta-Vata,Avoid excess salt and fluids; eat heart-healthy foods like oats.,"Breathing Exercises, Physical Therapy","Medications, Surgery","Healthy Diet, Regular Exercise",Can be Managed with Treatment,"Organ Failure, Fluid Retention","Regular Monitoring, Medication",None specific,"Arjuna, Brahmi"
Hemochromatosis,"Fatigue, joint pain, liver enlargement","Blood Tests, Genetic Testing",Moderate to Severe,Lifelong,"Genetic, Iron overload","Phlebotomy, Chelating agents","Genetics, Excessive Iron Intake","Excessive iron intake, Alcohol",Irregular sleep,Moderate stress,Low,Family history of hemochromatosis,"Low-iron, High-fiber",,All seasons,40-70 years,Both genders,Sedentary lifestyle,Avoids iron-rich foods,"Guduchi (3g), Warm water (200ml)","Pitta, Vata",Pitta-Prakriti,Avoid iron-rich foods; increase consumption of antioxidant-rich foods.,None specific,"Phlebotomy, Iron Chelators","Regular Monitoring, Iron Management",Can be Managed with Treatment,"Organ Damage, Diabetes","Regular Monitoring, Iron Management",None specific,"Amla, Guduchi"
Hemophilia,"Unexplained bleeding, easy bruising","Blood Tests, Genetic Testing",Severe,Lifelong,"Genetic, Blood clotting disorder",Blood clotting factors,"Genetics, Family History","Genetic mutations, Bleeding events",Irregular sleep,Moderate stress,Low,Family history of hemophilia,"High-protein, Iron-rich",,All seasons,All ages,Both genders,Sedentary lifestyle,Avoids injury,Aloe vera (fresh),Kapha,Kapha-Prakriti,Avoid injury-prone activities; maintain a diet rich in vitamin K.,None specific,Factor Replacement Therapy,"Genetic Counseling, Early Diagnosis",Can be Managed with Treatment,"Bleeding, Joint Damage","Early Intervention, Regular Monitoring",None specific,None specific
Hendra Virus Infection,"Fever, headache, respiratory symptoms","Blood Tests, Viral Culture",Severe,1-3 weeks,"Viral infection, Zoonotic",Antiviral treatment,"Animal Exposure, Poor Hygiene",Close contact with infected animals,Irregular sleep,High stress,Low,No family history,"Low-fat, Hydrating foods",,All seasons,20-60 years,Both genders,Exposure to animals,Avoids animal contact,"Ashwagandha (5g), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Avoid contact with infected animals; maintain good hygiene.,None specific,"Supportive Care, Antiviral Medications","Avoid Animal Contact, Proper Hygiene",Can be Managed with Treatment,"Respiratory Failure, Organ Damage","Avoid Animal Exposure, Good Hygiene Practices",None specific,None specific
Hepatitis,"Yellowing of skin, fatigue, loss of appetite","Blood Tests, Liver Function Tests",Moderate to Severe,1-6 months,"Viral infection, Alcoholism",Antiviral medications,"Viral Infections, Alcohol, Drugs","Unprotected sex, Needle sharing",Irregular sleep,Moderate stress,Low,Family history of hepatitis,"Low-fat, High-fiber","Alcohol, Certain foods",All seasons,20-60 years,Both genders,Sedentary lifestyle,Avoids alcohol,"Turmeric (1/2 tsp), Neem (5-6 leaves), Water (200ml)",Pitta,Pitta-Prakriti,Avoid alcohol and fatty foods; consume liver-detoxifying herbs.,Liver Detoxification Exercises,"Antiviral Medications, Liver Transplant","Vaccination, Avoid Alcohol",Can be Managed with Medication,"Cirrhosis, Liver Failure","Avoid Alcohol, Regular Monitoring",None specific,"Bhumi Amla, Turmeric"
Hepatitis A,"Jaundice, fever, abdominal pain","Blood Tests, Liver Function Tests",Mild to Moderate,1-2 months,"Viral infection, Contaminated food or water","Supportive care, Vaccination","Contaminated Food/Water, Poor Sanitation",Contaminated food or water,Irregular sleep,High stress,Low,No family history,"Low-fat, Hydrating foods",,Summer season,All ages,Both genders,Poor hygiene areas,Avoids contaminated food,"Amla (3g), Water (200ml)","Pitta, Vata",Pitta-Vata,Avoid raw food and unclean water; consume bitter foods like neem.,"Rest, Hydration","Supportive Care, Vaccination","Vaccination, Hygiene Practices",Usually Resolves with Treatment,"Liver Damage, Dehydration","Good Hygiene, Safe Water Practices",None specific,"Amla, Guduchi"
Hepatitis B,"Jaundice, fatigue, abdominal pain, dark urine","Blood Tests, Liver Function Tests",Moderate to Severe,1-6 months,"Viral infection, Unprotected sex",Antiviral medications,"Blood, Sexual Contact, Birth","Unprotected sex, Needle sharing",Irregular sleep,Moderate stress,Low,Family history of hepatitis,"Low-fat, High-fiber","Alcohol, Certain foods",All seasons,20-60 years,Both genders,Sedentary lifestyle,Avoids alcohol,"Neem leaves (5-6), Turmeric (1/2 tsp), Water (as needed)",Pitta,Pitta-Prakriti,Maintain good hygiene; avoid alcohol and greasy foods.,"Yoga for Liver Health, Breathing Exercises","Antiviral Medications, Vaccination","Vaccination, Safe Practices",Can be Managed with Medication,"Cirrhosis, Liver Cancer","Regular Monitoring, Vaccination",None specific,"Guduchi, Bhumyamalaki"
Hepatitis C,"Fatigue, nausea, dark urine, jaundice","Blood Tests, Liver Function Tests",Moderate to Severe,2-6 months,"Viral infection, Unprotected sex",Antiviral medications,"Blood Exposure, IV Drug Use","Unprotected sex, Needle sharing",Irregular sleep,Moderate stress,Low,Family history of hepatitis,"Low-fat, High-fiber","Alcohol, Certain foods",All seasons,20-60 years,Both genders,Sedentary lifestyle,Avoids alcohol,"Guduchi (3g), Amla (2g), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Avoid fatty foods; drink plenty of water and detoxifying herbal teas.,"Liver Detoxification, Breathing Exercises","Antiviral Medications, Liver Transplant","Safe Practices, Needle Safety",Can be Managed with Medication,"Cirrhosis, Liver Cancer","Regular Monitoring, Medication",None specific,"Amla, Guduchi"
Histoplasmosis,"Cough, fever, chest pain, difficulty breathing","Blood Tests, Chest X-ray, Fungal Culture",Moderate to Severe,1-6 months,"Fungal infection, Inhalation",Antifungal medications,Exposure to Bird/Bat Droppings,Exposure to bird or bat droppings,Irregular sleep,Moderate stress,Low,No family history,"Low-fat, Hydrating foods",,All seasons,20-60 years,Both genders,Exposure to contaminated areas,Avoids contaminated areas,"Ashwagandha (5g), Turmeric (1/2 tsp), Warm water (200ml)","Vata, Pitta",Pitta-Vata,Avoid damp environments; include anti-inflammatory foods like ginger.,Respiratory Exercises,Antifungal Medications,"Avoid Exposure, Wear Masks",Can be Managed with Medication,"Lung Damage, Organ Failure","Avoid Exposure, Regular Checkups",None specific,"Ashwagandha, Guduchi"
Hookworm Infection,"Abdominal pain, nausea, diarrhea","Stool Test, Blood Tests",Mild to Moderate,1-2 months,"Parasitic infection, Poor sanitation",Antiparasitic medications,"Contaminated Soil, Poor Sanitation","Poor sanitation, Contaminated soil",Irregular sleep,High stress,Low,No family history,"Low-fat, Hydrating foods",,All seasons,All ages,Both genders,Poor sanitation areas,Avoids contaminated soil,"Neem leaves (5-6), Water (as needed)","Vata, Kapha",Kapha-Prakriti,Avoid walking barefoot in contaminated areas; practice proper hygiene.,None specific,Anthelmintic Medications,"Proper Hygiene, Avoid Barefoot",Can be Managed with Medication,"Anemia, Abdominal Pain","Good Hygiene, Safe Water Practices",None specific,None specific
Huntington's Disease,"Movement problems, mood swings, cognitive decline","Genetic Testing, Neurological Exam",Severe,Lifelong,"Genetic, Neurodegenerative",Supportive medications,"Genetics, Family History","Genetic mutations, Family history",Irregular sleep,High stress,Low,Family history of Huntington's,"Balanced, High-fiber",,All seasons,30-50 years,Both genders,Sedentary lifestyle,Avoids stress,"Brahmi (2g), Ashwagandha (5g), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Avoid stress; maintain a diet rich in omega-3 fatty acids.,None specific,"Supportive Care, Medications","Genetic Counseling, Early Diagnosis",Can be Managed with Treatment,"Cognitive Decline, Movement Issues","Regular Monitoring, Supportive Care",None specific,None specific
Hydronephrosis,"Swelling, abdominal pain, painful urination","Ultrasound, CT Scan, Urine Test",Moderate to Severe,1-3 months,"Urinary obstruction, Kidney disease","Diuretics, Surgery","Urinary Blockages, Pregnancy","Obesity, Kidney stones, Urinary tract obstruction",Irregular sleep,Moderate stress,Low,Family history of kidney disease,"Low-sodium, Hydrating foods",,All seasons,20-60 years,Both genders,Sedentary lifestyle,Avoids dehydration,"Gokshura (3g), Warm water (200ml)","Kapha, Vata",Kapha-Vata,Avoid excess salt; maintain hydration with fresh herbal teas.,None specific,"Surgery, Catheterization","Early Diagnosis, Avoid Blockages",Can be Managed with Treatment,"Kidney Damage, Infection","Regular Checkups, Hydration",None specific,None specific
Hypercholesterolemia,"High cholesterol, chest pain, fatigue",Blood Tests,Moderate to Severe,Lifelong,"Genetic, High-fat diet","Statins, Lipid-lowering drugs","Diet, Genetics, Obesity","High-fat diet, Sedentary lifestyle",Irregular sleep,High stress,Low,Family history of hypercholesterolemia,"Low-fat, High-fiber",,All seasons,30-70 years,Both genders,Sedentary lifestyle,Avoids high-fat foods,"Triphala (1 tsp), Warm water (200ml)",Pitta,Pitta-Prakriti,Avoid trans fats; consume more fiber and antioxidants.,Cardiovascular Exercises,"Statins, Diet Changes","Healthy Diet, Regular Exercise",Can be Managed with Medication,"Heart Disease, Stroke","Healthy Diet, Regular Exercise",None specific,None specific
Hyperparathyroidism,"Weak bones, kidney stones, fatigue","Blood Tests, Imaging, Biopsy",Moderate to Severe,Lifelong,Parathyroid disorder,"Calcium supplements, Surgery","Calcium Imbalance, Tumors","Calcium imbalance, Kidney disease",Irregular sleep,Moderate stress,Low,Family history of hyperparathyroidism,"Calcium-rich, Low-sodium",,All seasons,40-70 years,Both genders,Sedentary lifestyle,Avoids high calcium foods,"Ashwagandha (5g), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Include calcium and vitamin D-rich foods; avoid high-phosphate foods.,None specific,"Surgery, Medications","Regular Monitoring, Surgery",Can be Managed with Treatment,"Kidney Stones, Bone Issues","Regular Checkups, Calcium Monitoring",None specific,None specific
Hypertension,"High blood pressure, headaches, dizziness",Blood Pressure Measurement,Moderate to Severe,Lifelong,"High blood pressure, Obesity","Antihypertensives, Diuretics","Genetics, Obesity, Stress","High-salt diet, Sedentary lifestyle",Irregular sleep,High stress,Low,Family history of hypertension,"Low-sodium, High-potassium",,All seasons,30-70 years,Both genders,Sedentary lifestyle,Avoids salt,"Ashwagandha (5g), Warm water (200ml)","Pitta, Vata",Pitta-Prakriti,Avoid salty foods; engage in regular physical activity and deep breathing exercises.,"Yoga for Stress Management, Breathing Exercises","Antihypertensive Medications, Lifestyle Changes","Regular Monitoring, Healthy Diet",Can be Managed with Medication,"Heart Disease, Stroke","Healthy Lifestyle, Regular Monitoring",None specific,"Arjuna, Ashwagandha"
